Sl_no,Type_of_course_Aggregate,Type_of_fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Cement_O.P.C_(Kg/m3),W/C_Ratio,Water_Content_(Kg/m3),7_day_str
1266,Crushed,Natural,20,370,0.51,190,37.6
1267,Crushed,Natural,20,370,0.51,185,38.5
1268,Crushed,Natural,20,365,0.49,180,39.8
1269,Crushed,Natural,20,365,0.49,180,39.8
1270,Crushed,Natural,40,375,0.44,165,32.2
1271,Crushed,Natural,40,375,0.44,165,32.2
1272,Crushed,Natural,20,315,0.49,165,32.7
1273,Crushed,Natural,20,400,0.44,175,0
1274,Crushed,Natural,20,400,0.44,175,31.4
1275,Crushed,Natural,20,400,0.44,175,31.4
1276,Crushed,Natural,20,375,0.6,225,21
1277,Crushed,Natural,20,375,0.6,225,21
1278,Crushed,Natural,20,385,0.47,180,29.4
1279,Crushed,Natural,40,385,0.47,180,29.4
1280,Crushed,Natural,40,375,0.45,170,35.3
1281,Crushed,Natural,40,375,0.45,170,35.3
1282,Crushed,Natural,40,375,0.48,180,26.3
1283,Crushed,Natural,40,375,0.48,180,26.3
1284,Crushed,Natural,20,375,0.51,190,29.1
1285,Crushed,Natural,20,375,0.51,190,29.1
1286,Crushed,Natural,20,365,0.51,185,36.8
1287,Crushed,Natural,20,365,0.51,185,36.8
1288,Crushed,Natural,20,350,0.47,165,31.1
1289,Crushed,Natural,20,350,0.47,165,31.3
1290,Crushed,Natural,20,375,0.49,185,24.7
1291,Crushed,Natural,20,375,0.49,185,24.7
1292,Crushed,Natural,20,385,0.47,180,39.2
1293,Crushed,Natural,40,350,0.48,168,39.1
1294,Crushed,Natural,40,350,0.48,168,39.1
1295,Crushed,Natural,20,375,0.49,185,27.4
1296,Crushed,Natural,40,375,0.49,185,27.4
1297,Crushed,Natural,40,375,0.47,175,24.8
1298,Crushed,Natural,20,375,0.51,190,31.9
1299,Crushed,Natural,20,375,0.51,190,31.9
1300,Crushed,Natural,40,375,0.47,175,26.9
1301,Crushed,Natural,40,375,0.47,175,26.9
1302,Crushed,Natural,20,375,0.51,190,24.6
1303,Crushed,Natural,20,375,0.44,190,32
1304,Crushed,Natural,20,375,0.44,190,32
1305,Crushed,Natural,40,365,0.47,170,36.4
1306,Crushed,Natural,40,365,0.47,170,36.4
1307,Crushed,Natural,20,365,0.45,165,37.4
1308,Crushed,Natural,20,365,0.45,165,37.4
1309,Crushed,Natural,40,400,0.45,180,39.4
1310,Crushed,Natural,40,400,0.45,180,39.4
1311,Crushed,Natural,20,375,0.49,185,38.3
1312,Crushed,Natural,40,375,0.47,175,31.1
1313,Crushed,Natural,20,375,0.49,185,38.3
1314,Crushed,Natural,20,360,0.5,180,34.7
1315,Crushed,Natural,20,360,0.5,180,31.1
1316,Crushed,Natural,20,360,0.5,180,34.7
1317,Crushed,Natural,20,360,0.5,180,31.1
1318,Crushed,Natural,20,365,0.52,190,29.6
1319,Crushed,Natural,20,365,0.52,190,29.6
1320,Crushed,Natural,20,400,0.47,190,0
1321,Crushed,Natural,20,400,0.47,190,38.2
1322,Crushed,Natural,20,400,0.47,190,38.2
1323,Crushed,Natural,20,400,0.47,190,38.2
1324,Crushed,Natural,20,400,0.4,160,30.2
1325,Crushed,Natural,20,400,0.4,160,30.2
1326,Crushed,Natural,20,365,0.49,180,35.9
1327,Crushed,Natural,20,365,0.49,180,35.9
1328,Crushed,Natural,40,365,0.47,165,34.6
1329,Crushed,Natural,40,350,0.47,165,34.6
1330,Crushed,Natural,40,375,0.48,180,32.5
1331,Crushed,Natural,40,375,0.48,180,32.8
1332,Crushed,Natural,20,385,0.47,180,25.9
1333,Crushed,Natural,20,385,0.47,180,25.9
1334,Crushed,Natural,40,365,0.48,175,29.1
1335,Crushed,Natural,40,360,0.44,160,30.6
1336,Crushed,Natural,40,360,0.44,160,30.6
1337,Crushed,Natural,40,375,0.48,180,27.5
1338,Crushed,Natural,20,375,0.48,190,30.2
1339,Crushed,Natural,20,375,0.51,190,41.9
1340,Crushed,Natural,20,375,0.51,190,41.9
1341,Crushed,Natural,40,375,0.48,180,27.5
1342,Crushed,Natural,20,365,0.52,190,37.9
1343,Crushed,Natural,20,365,0.52,190,37.9
1344,Crushed,Natural,40,375,0.48,180,30.3
1345,Crushed,Natural,40,375,0.48,180,30.3
1346,Crushed,Natural,20,365,0.52,190,37.9
1347,Crushed,Natural,20,375,0.51,190,26.9
1348,Crushed,Natural,20,365,0.44,160,27.7
1349,Crushed,Natural,20,365,0.44,160,27.7
1350,Crushed,Natural,20,375,0.48,185,44.2
1351,Crushed,Natural,20,375,0.48,185,44.2
1352,Crushed,Natural,20,360,0.46,170,41.2
1353,Crushed,Natural,20,360,0.46,170,41.2
1354,Crushed,Natural,20,375,0.49,185,24.8
1355,Crushed,Natural,20,375,0.49,185,24.8
1356,Crushed,Natural,40,375,0.48,180,27.8
1357,Crushed,Natural,40,375,0.48,180,27.8
1358,Crushed,Natural,20,375,0.49,185,36.3
1359,Crushed,Natural,20,375,0.49,185,33.4
1360,Crushed,Natural,20,375,0.49,185,36.3
1361,Crushed,Natural,40,375,0.48,180,27.5
1362,Crushed,Natural,20,360,0.51,185,33.9
1363,Crushed,Natural,40,375,0.43,160,29.2
1364,Crushed,Natural,40,375,0.43,160,28.8
1365,Crushed,Natural,40,375,0.43,160,29.2
1366,Crushed,Natural,40,375,0.43,160,28.8
1367,Crushed,Natural,40,360,0.46,165,25.8
1368,Crushed,Natural,20,375,0.51,190,24.6
1369,Crushed,Natural,20,350,0.46,160,33.6
1370,Crushed,Natural,20,375,0.49,185,32
1371,Crushed,Natural,20,375,0.49,185,32
1372,Crushed,Natural,20,375,0.49,185,33.1
1373,Crushed,Natural,20,375,0.49,185,33.1
1374,Crushed,Natural,40,350,0.48,168,34.1
1375,Crushed,Natural,40,350,0.48,168,34.1
1376,Crushed,Natural,40,375,0.48,180,27.8
1377,Crushed,Natural,40,375,0.44,165,32.6
1378,Crushed,Natural,40,375,0.44,165,32.6
1379,Crushed,Natural,20,385,0.49,190,34
1380,Crushed,Natural,20,385,0.49,190,34
1381,Crushed,Natural,40,365,0.48,175,26.1
1382,Crushed,Natural,40,365,0.48,175,26.1
1383,Crushed,Natural,40,375,0.48,180,31.7
1384,Crushed,Natural,40,375,0.48,180,31.7
1385,Crushed,Natural,20,375,0.49,185,30.5
1386,Crushed,Natural,20,375,0.49,185,30.5
1387,Crushed,Natural,40,350,0.46,160,33.5
1388,Crushed,Natural,40,350,0.46,160,33.5
1389,Crushed,Natural,20,400,0.44,175,28
1390,Crushed,Natural,20,400,0.44,175,28
1391,Crushed,Natural,40,350,0.48,168,36.5
1392,Crushed,Natural,40,350,0.48,168,36.5
1393,Crushed,Natural,40,350,0.48,168,36.4
1394,Crushed,Natural,20,360,0.46,165,40
1395,Crushed,Natural,20,360,0.46,165,0
1396,Crushed,Natural,20,360,0.46,165,40
1397,Crushed,Natural,40,375,0.48,180,31
1398,Crushed,Natural,40,375,0.48,180,31
1399,Crushed,Natural,20,375,0.51,190,25.6
1400,Crushed,Natural,20,375,0.41,190,25.6
1401,Crushed,Natural,20,375,0.53,200,28.3
1402,Crushed,Natural,40,375,0.48,180,25.5
1403,Crushed,Natural,40,375,0.48,180,26.1
1404,Crushed,Natural,40,375,0.48,180,25
1405,Crushed,Natural,40,375,0.48,180,25.5
